44539,41671,49507,-35399,-44251,-30355,-44587,5516,1141,9500,
4794,-30483,52444,25597,47318,-7203,15654,2057,28902,20007,
47096,26440,50504,802,-26016,62471,-53313,-1170,-52998,20341,
-30758,-21247,-2622,44066,38143,-37757,-45567,-12779,-32913,-12397,
34394,57825,-18775,45503,41965,-42329,38925,-33132,-21634,-43437,
22761,48086,16499,-6545,-13520,32422,39934,54115,-64379,38839,
51153,13642,-33146,-17667,-13096,55527,10551,49764,-27612,23712,
-60337,-55061,-10956,20278,21966,-8896,-50133,-18466,-55774,-6423,
-61406,-41765,-40308,-55513,60901,48255,-15311,-16809,50185,59295,
41648,38815,24904,-38725,-55116,-27437,-14660,22157,-18706,59252,
25540,-36490,8084,32993,-63652,-60094,64418,-43953,-1657,-55700,
16487,-55238,-64116,-45182,19371,-35475,-29044,-43171,-20242,-16952,
-23483,20964,11746,-20734,-17644,-21918,-29044,-40528,52047,-14727,
-20802,55778,-39913,50658,-6448,8479,-35756,57463,-30167,407,
-60559,57849,14986,-64952,14074,-12923,-39007,-44702,-60015,-20164,
62210,-2708,2599,-62654,-18728,-6331,-60446,-6273,-38384,12446,
-17118,-50908,62445,-3027,51866,-262,61046,-29534,-33417,53074,
-43189,-16616,36520,39873,33413,-42378,8267,35708,37732,17753,
56706,-36474,9896,-18900,-14035,8014,-36134,29603,-40490,-63596,
-22769,-46306,4149,-37861,-60999,26676,-6120,-9928,48563,5617,
-11901,64749,-14536,-29225,-33549,-45839,53521,-12669,-64975,-2085,
42477,-2697,12954,-51089,41446,-33869,-38259,-35947,59868,-30616,
-39489,1346,45526,-766,-36063,47576,-16351,-2800,14890,-43964,
18243,-50986,36458,-17160,39185,-39445,-21924,6411,37113,-57774,
-6481,-27990,62822,33464,-13983,-40582,-28648,-15155,51045,12528,
24804,-30586,29458,-19226,-41227,-30840,-27794,-34720,-58754,-52925,
60915,43435,47646,35929,28305,23823,6940,-55007,40095,42737,
-3980,-27002,-19707,19391,-36053,-36412,53741,-61576,19745,62330,
-45138,62490,-16017,-6081,-50698,-30624,-28029,-3198,-1624,-23523,
20168,-29198,27342,-42261,-27423,8480,33642,-28088,25012,-49040,
35844,-29657,-36338,-7103,3778,-48891,60133,-33060,-60734,44177,
2271,12761,-40439,15560,34987,49197,47764,-8959,-33391,-4947,
-54842,-49069,28624,-46811,51920,-35355,-48419,-49929,52998,-51657,
-46983,-52159,-2272,-46432,47923,-10733,-13812,-34070,18916,-39484,
8173,47042,16155,38995,-36316,-58448,-20288,-11960,17303,44272,
-1193,46546,-33668,-21824,52822,-21216,39298,22141,-41880,47329,
-22347,-26403,29186,29129,-34081,-52419,17643,-49133,30808,22659,
-49012,63591,-50564,59187,61192,-36142,51339,43352,-53943,-63009,
-38237,44786,-33588,42756,46657,-13632,-38341,-46910,14783,32770,
-54841,989,-18560,4673,16240,-14331,43284,-26429,9948,-20113,
-7951,13410,-64154,43643,-38204,-6576,-6566,34871,-61137,-8210,
-51050,-57358,-2727,45615,10891,22055,-28366,-18032,-14314,-20198,
-23397,-31999,34398,48565,-23720,27432,-30788,48654,-4003,45228,
-37922,35894,-64396,-45222,-31845,-49370,12706,-30601,18418,-22961,
7526,-9092,42939,8740,-49425,-50124,-28746,-25603,46785,-32120,
-2466,45236,-54960,-34997,-58548,64555,15153,33183,-29975,10525,
-53925,26403,-1340,25328,-981,17300,31516,56285,19008,54254,
6340,-26530,-36406,51763,-59855,-47433,2026,7749,-63531,-44188,
47316,2535,55145,26531,12975,-46436,3078,-11313,63498,-3648,
56471,-64712,52290,1647,9782,-9460,-53933,11459,-9377,34705,
-58782,34511,-48832,64703,-44246,15556,21121,23497,37400,45542,
15105,43569,50170,25340,-34032,6887,22434,-51798,25080,-22353,
-41717,50223,33901,-15313,20729,40075,32120,59228,-52150,-3748,
40891,-23375,23853,-43795,-56175,-46855,44470,-34679,8031,-63573,
1019,-46854,-48039,-42839,-47100,18956,27599,-20193,-12754,50944,
-34466,-8448,-13333,-60738,-48901,15484,25542,-14865,16286,10729,
-59960,6336,-55630,-49067,8102,-24878,43325,-38380,36857,-15995,
35196,-46763,-32483,50871,22701,-49183,-18277,-31601,3861,42875,
-723,8123,12601,-27216,-37634,-2390,-34534,-14245,28394,-32706,
45272,-17195,46789,6010,-11853,13011,17239,6874,59316,-25134,
35636,7660,-9753,64160,-39111,-38154,33195,26775,-17647,-6726,
-15048,3167,-19968,-12962,17313,19003,13685,47757,-9809,53510,
18919,-46161,26051,-2854,-8046,55012,18928,-26246,58949,-33120,
-10652,35746,58025,59580,49722,-9015,11345,54899,-14266,-33129,
-29309,-46967,44129,14875,-13850,-31911,18791,28476,-15665,44166,
54116,57711,51839,-57506,-51860,-22231,-49335,20717,-42268,-63854,
-9360,3612,-50286,-4775,-58669,39834,23913,-4552,-12109,-14021,
37368,8879,24758,32797,-12064,26605,-30196,-48951,-26321,-6588,
20400,-46695,3946,17617,35734,-42847,30105,-20717,-27173,-56788,
55493,23334,-8137,34000,-2309,-13545,-225,25517,-64095,63253,
-5642,-17638,53746,-39626,-5312,5479,17840,-27062,16692,-63939,
55102,44513,6365,-53687,-28872,49908,-10146,59370,19220,-6896,
-50614,40595,9195,38234,191,26006,14283,37445,-26273,16437,
-25290,-61150,4534,25131,19394,-32445,-26166,17580,52287,-26294,
-26278,56111,-4494,-58757,63926,28187,24480,-1916,28483,63578,
15849,54531,-59551,2698,-52905,9476,24601,-54933,40001,-17744,
-26853,-64535,23947,-40200,-7695,15801,-5755,49958,-30188,11464,
51956,12499,30472,-7413,-64893,-51364,-15072,5020,-58515,-50244,
-36255,-45286,9477,57840,24536,62005,35329,-44376,18382,48547,
49227,-48861,33793,-40427,-31964,53573,-30076,15397,-943,49781,
58859,61946,3374,20611,-51414,19797,7478,-57744,-9292,-49303,
32219,-14553,20042,19368,54842,535,-2337,-10637,-34089,57586,
-55256,45345,35882,30390,47586,-42269,39934,62674,41113,36462,
2918,-5025,588,11665,-1207,-46771,-21317,-40127,19321,6662,
11885,14005,-34791,52660,52157,-51398,-5529,62537,-8368,9870,
40480,-10676,-12459,9388,-52922,59024,11087,44695,7951,-31787,
46805,50280,-57958,-44308,-35386,15880,30406,64140,-37013,-58595,
-55981,14825,-63395,-21841,-27685,46036,9375,10202,-45746,20284,
8514,14483,-3477,4330,-8687,-41747,-59750,19149,-63959,-44375,
-39324,25782,-29304,-54030,30638,26827,-46735,26819,55982,19150,
-20048,62043,14734,-44880,-36767,24092,37582,10823,-18354,-53431,
59627,64725,39969,8707,-38053,-9961,23644,25962,60063,-16168,
-35989,-60351,-35965,10332,17057,-48520,11885,12077,11295,-39887,
-62258,2183,5486,-40537,-55385,-19811,-314,54088,53792,-11592,
33561,621,-34444,16069,-44847,24042,53403,-14118,47873,16345,
-44605,10722,-30477,-588,19057,35763,-25602,-52317,5949,57653,
56042,-9673,-20255,-1408,8478,33423,9660,64550,-48680,-28917,
-41095,21568,49726,-48051,-7662,49317,20140,41362,-34716,-15849,
33844,-43615,-18792,48706,-41803,38392,36926,-27218,-52580,26668,
52962,53101,-18254,61353,46877,-29239,-44383,-54099,-23679,-46832,
-50482,-33365,61556,41354,9130,54115,-12720,9333,-28983,-20975,
-54351,38407,35443,-60039,35313,38612,37812,64135,9525,-34870,
-38638,-58994,-894,42265,48097,-5355,44018,4086,-1069,-56649,
-3768,-107,43356,-63592,-9328,47185,-433,-39841,12072,62419,
31412,29798,32524,43789,-58513,-14344,-49964,32022,47586,16586,
42085,6620,16187,-52929,-39251,-16477,48398,45135,11298,-64976,
-44480,-32018,10483,25526,62392,49772,-17293,8097,52757,-22465,
5903,-20779,-26465,36805,33633,-23690,48209,9904,9329,-19917,
33451,-28489,12189,-18646,-48495,33789,-23887,60986,28117,-48445,
34329,40518,44857,-59850,33062,45863,5986,-3049,-45345,20217,
-52478,64419,13554,13666,-15504,47164,36126,-48152,33595,24539,
-36211,8837,4498,63053,47238,-46750,35879,13794,-42841,-15477,
-14943,-25578,-48564,-39624,-52843,2242,64103,-43562,-15250,-37952,
-36807,-38672,8839,-25239,-40122,-4579,20054,-33612,44397,-12648,
